"occupation","occ_label","YEAR","agg_tot_emp","a_median_wtavg","CPI","a_median_wtavg_real"
0,"Dietitians & Nutritionists",2003,46190,42030,184,71654.0688586957
1,"Registered Nurses",2003,2246430,49550,184,84474.4019021739
2,"Pharmacists",2003,215030,80530,184,137290.082445652
3,"Therapists",2003,427020,50292.944124397,184,85740.9964643368
4,"Fitness & Recreation Workers",2003,443430,20969.5710709695,184,35749.5857591378
5,"Software Developers",2003,1109540,69132.3018548227,184,117858.927372486
6,"Teachers",2003,3167030,43069.665680464,184,73426.5236828211
0,"Dietitians & Nutritionists",2004,46530,43630,188.9,72452.3614081525
1,"Registered Nurses",2004,2311970,52330,188.9,86899.6578613023
2,"Pharmacists",2004,222960,84900,188.9,140985.68607729
3,"Therapists",2004,452720,52365.2469517583,188.9,86958.1892591323
4,"Fitness & Recreation Workers",2004,448800,21817.820855615,188.9,36230.8650416993
5,"Software Developers",2004,1156000,71979.6601211073,188.9,119530.056134092
6,"Teachers",2004,3186450,44150.6737591991,188.9,73316.9968282129
0,"Dietitians & Nutritionists",2005,48850,44940,195.3,72182.2
1,"Registered Nurses",2005,2368070,54670,195.3,87810.4333333333
2,"Pharmacists",2005,229740,89820,195.3,144268.028571429
3,"Therapists",2005,475800,54812.9981084489,195.3,88040.1155332372
4,"Fitness & Recreation Workers",2005,454060,22497.8575518654,195.3,36135.8445344962
5,"Software Developers",2005,1165790,73911.3497285103,195.3,118715.706016317
6,"Teachers",2005,3251710,44878.1575232724,195.3,72082.869202856
0,"Dietitians & Nutritionists",2006,51230,46980,201.6,73100.7401785714
1,"Registered Nurses",2006,2417150,57280,201.6,89127.5095238095
2,"Pharmacists",2006,239920,94520,201.6,147072.838690476
3,"Therapists",2006,492770,57588.3057004282,201.6,89607.2322760993
4,"Fitness & Recreation Workers",2006,479250,22807.9797600417,201.6,35489.1486257328
5,"Software Developers",2006,1197600,76597.1676686707,201.6,119184.964924691
6,"Teachers",2006,3303440,46474.7702395079,201.6,72314.6041749057
0,"Dietitians & Nutritionists",2007,52800,49010,207.342,74147.5334953844
1,"Registered Nurses",2007,2468340,60010,207.342,90789.5018375438
2,"Pharmacists",2007,253110,100480,207.342,152016.816274561
3,"Therapists",2007,508200,60966.0875639512,207.342,92235.9726531445
4,"Fitness & Recreation Workers",2007,498060,24073.3417660523,207.342,36420.7083236931
5,"Software Developers",2007,1239660,80011.0045496346,207.342,121049.145885399
6,"Teachers",2007,3362270,48174.181193063,207.342,72883.0180294911
0,"Dietitians & Nutritionists",2008,53630,50590,215.303,73707.8745303131
1,"Registered Nurses",2008,2542760,62450,215.303,90987.4829890898
2,"Pharmacists",2008,266410,106410,215.303,155035.677579969
3,"Therapists",2008,523630,63573.3731833547,215.303,92624.1987362616
4,"Fitness & Recreation Workers",2008,511710,25204.9385394071,215.303,36722.7208421995
5,"Software Developers",2008,1270220,82627.3624254066,215.303,120385.199889752
6,"Teachers",2008,3412100,50052.1003780663,215.303,72924.1734462373
